County,Year,Variable,Value
Dawson,2016,Percent of Deaths by Cause-Drug Overdoses,2.5
Decatur,2016,Percent of Deaths by Cause-Drug Overdoses,*
DeKalb,2016,Percent of Deaths by Cause-Drug Overdoses,1.6
Dodge,2016,Percent of Deaths by Cause-Drug Overdoses,*
Dooly,2016,Percent of Deaths by Cause-Drug Overdoses,*
Dougherty,2016,Percent of Deaths by Cause-Drug Overdoses,1.0
Douglas,2016,Percent of Deaths by Cause-Drug Overdoses,3.3
Early,2016,Percent of Deaths by Cause-Drug Overdoses,*
Echols,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Effingham,2016,Percent of Deaths by Cause-Drug Overdoses,1.1
Elbert,2016,Percent of Deaths by Cause-Drug Overdoses,*
Emanuel,2016,Percent of Deaths by Cause-Drug Overdoses,*
Evans,2016,Percent of Deaths by Cause-Drug Overdoses,*
Fannin,2016,Percent of Deaths by Cause-Drug Overdoses,2.0
Fayette,2016,Percent of Deaths by Cause-Drug Overdoses,0.8
Floyd,2016,Percent of Deaths by Cause-Drug Overdoses,1.5
Forsyth,2016,Percent of Deaths by Cause-Drug Overdoses,1.9
Franklin,2016,Percent of Deaths by Cause-Drug Overdoses,1.7
Fulton,2016,Percent of Deaths by Cause-Drug Overdoses,2.6
Gilmer,2016,Percent of Deaths by Cause-Drug Overdoses,1.5
Glascock,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Glynn,2016,Percent of Deaths by Cause-Drug Overdoses,1.4
Gordon,2016,Percent of Deaths by Cause-Drug Overdoses,1.9
Grady,2016,Percent of Deaths by Cause-Drug Overdoses,*
Greene,2016,Percent of Deaths by Cause-Drug Overdoses,*
Gwinnett,2016,Percent of Deaths by Cause-Drug Overdoses,1.9
Habersham,2016,Percent of Deaths by Cause-Drug Overdoses,1.7
Hall,2016,Percent of Deaths by Cause-Drug Overdoses,2.0
Hancock,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Haralson,2016,Percent of Deaths by Cause-Drug Overdoses,2.3
Harris,2016,Percent of Deaths by Cause-Drug Overdoses,3.3
Hart,2016,Percent of Deaths by Cause-Drug Overdoses,*
Heard,2016,Percent of Deaths by Cause-Drug Overdoses,*
Henry,2016,Percent of Deaths by Cause-Drug Overdoses,2.6
Houston,2016,Percent of Deaths by Cause-Drug Overdoses,1.2
Irwin,2016,Percent of Deaths by Cause-Drug Overdoses,*
Jackson,2016,Percent of Deaths by Cause-Drug Overdoses,1.8
Jasper,2016,Percent of Deaths by Cause-Drug Overdoses,*
Jefferson,2016,Percent of Deaths by Cause-Drug Overdoses,*
Jenkins,2016,Percent of Deaths by Cause-Drug Overdoses,*
Johnson,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Jones,2016,Percent of Deaths by Cause-Drug Overdoses,*
Lamar,2016,Percent of Deaths by Cause-Drug Overdoses,*
Lanier,2016,Percent of Deaths by Cause-Drug Overdoses,*
Laurens,2016,Percent of Deaths by Cause-Drug Overdoses,1.1
Lee,2016,Percent of Deaths by Cause-Drug Overdoses,*
Liberty,2016,Percent of Deaths by Cause-Drug Overdoses,*
Lincoln,2016,Percent of Deaths by Cause-Drug Overdoses,*
Long,2016,Percent of Deaths by Cause-Drug Overdoses,*
Lowndes,2016,Percent of Deaths by Cause-Drug Overdoses,1.2
Lumpkin,2016,Percent of Deaths by Cause-Drug Overdoses,3.0
McDuffie,2016,Percent of Deaths by Cause-Drug Overdoses,*
McIntosh,2016,Percent of Deaths by Cause-Drug Overdoses,*
Macon,2016,Percent of Deaths by Cause-Drug Overdoses,*
Madison,2016,Percent of Deaths by Cause-Drug Overdoses,*
Marion,2016,Percent of Deaths by Cause-Drug Overdoses,*
Meriwether,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Miller,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Mitchell,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Monroe,2016,Percent of Deaths by Cause-Drug Overdoses,*
Montgomery,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Morgan,2016,Percent of Deaths by Cause-Drug Overdoses,*
Murray,2016,Percent of Deaths by Cause-Drug Overdoses,1.2
Muscogee,2016,Percent of Deaths by Cause-Drug Overdoses,0.8
Newton,2016,Percent of Deaths by Cause-Drug Overdoses,1.7
Oconee,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Oglethorpe,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Paulding,2016,Percent of Deaths by Cause-Drug Overdoses,3.3
Peach,2016,Percent of Deaths by Cause-Drug Overdoses,*
Pickens,2016,Percent of Deaths by Cause-Drug Overdoses,1.4
Pierce,2016,Percent of Deaths by Cause-Drug Overdoses,*
Pike,2016,Percent of Deaths by Cause-Drug Overdoses,*
Polk,2016,Percent of Deaths by Cause-Drug Overdoses,1.6
Pulaski,2016,Percent of Deaths by Cause-Drug Overdoses,*
Putnam,2016,Percent of Deaths by Cause-Drug Overdoses,*
Quitman,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Rabun,2016,Percent of Deaths by Cause-Drug Overdoses,*
Randolph,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Richmond,2016,Percent of Deaths by Cause-Drug Overdoses,2.4
Rockdale,2016,Percent of Deaths by Cause-Drug Overdoses,2.3
Schley,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Screven,2016,Percent of Deaths by Cause-Drug Overdoses,*
Seminole,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Spalding,2016,Percent of Deaths by Cause-Drug Overdoses,1.3
Stephens,2016,Percent of Deaths by Cause-Drug Overdoses,1.4
Stewart,2016,Percent of Deaths by Cause-Drug Overdoses,*
Sumter,2016,Percent of Deaths by Cause-Drug Overdoses,*
Talbot,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Taliaferro,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Tattnall,2016,Percent of Deaths by Cause-Drug Overdoses,*
Taylor,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Telfair,2016,Percent of Deaths by Cause-Drug Overdoses,*
Terrell,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Thomas,2016,Percent of Deaths by Cause-Drug Overdoses,*
Tift,2016,Percent of Deaths by Cause-Drug Overdoses,1.5
Toombs,2016,Percent of Deaths by Cause-Drug Overdoses,*
Towns,2016,Percent of Deaths by Cause-Drug Overdoses,*
Treutlen,2016,Percent of Deaths by Cause-Drug Overdoses,*
Troup,2016,Percent of Deaths by Cause-Drug Overdoses,1.4
Turner,2016,Percent of Deaths by Cause-Drug Overdoses,*
Twiggs,2016,Percent of Deaths by Cause-Drug Overdoses,*
Union,2016,Percent of Deaths by Cause-Drug Overdoses,*
Upson,2016,Percent of Deaths by Cause-Drug Overdoses,*
Walker,2016,Percent of Deaths by Cause-Drug Overdoses,1.2
Walton,2016,Percent of Deaths by Cause-Drug Overdoses,1.9
Ware,2016,Percent of Deaths by Cause-Drug Overdoses,*
Warren,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Washington,2016,Percent of Deaths by Cause-Drug Overdoses,*
Wayne,2016,Percent of Deaths by Cause-Drug Overdoses,2.0
Webster,2016,Percent of Deaths by Cause-Drug Overdoses,*
Wheeler,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
White,2016,Percent of Deaths by Cause-Drug Overdoses,1.9
Whitfield,2016,Percent of Deaths by Cause-Drug Overdoses,1.0
Wilcox,2016,Percent of Deaths by Cause-Drug Overdoses,*
Wilkes,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Wilkinson,2016,Percent of Deaths by Cause-Drug Overdoses,0.0
Worth,2016,Percent of Deaths by Cause-Drug Overdoses,2.5
Appling,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Atkinson,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Bacon,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Baker,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Baldwin,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Banks,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Barrow,2020,Age-Adjusted Death Rate-Drug Overdoses,17.1
Bartow,2020,Age-Adjusted Death Rate-Drug Overdoses,31.3
Berrien,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Bibb,2020,Age-Adjusted Death Rate-Drug Overdoses,12.6
Bleckley,2020,Age-Adjusted Death Rate-Drug Overdoses,43.4
Brantley,2020,Age-Adjusted Death Rate-Drug Overdoses,29.9
Brooks,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Bryan,2020,Age-Adjusted Death Rate-Drug Overdoses,17.0
Bulloch,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Burke,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Butts,2020,Age-Adjusted Death Rate-Drug Overdoses,21.9
Calhoun,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Camden,2020,Age-Adjusted Death Rate-Drug Overdoses,17.2
Candler,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Carroll,2020,Age-Adjusted Death Rate-Drug Overdoses,29.9
Catoosa,2020,Age-Adjusted Death Rate-Drug Overdoses,30.0
Charlton,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Chatham,2020,Age-Adjusted Death Rate-Drug Overdoses,22.8
Chattahoochee,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Chattooga,2020,Age-Adjusted Death Rate-Drug Overdoses,37.9
Cherokee,2020,Age-Adjusted Death Rate-Drug Overdoses,20.7
Clarke,2020,Age-Adjusted Death Rate-Drug Overdoses,14.1
Clay,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Clayton,2020,Age-Adjusted Death Rate-Drug Overdoses,17.0
Clinch,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Cobb,2020,Age-Adjusted Death Rate-Drug Overdoses,20.0
Coffee,2020,Age-Adjusted Death Rate-Drug Overdoses,13.7
Colquitt,2020,Age-Adjusted Death Rate-Drug Overdoses,20.2
Columbia,2020,Age-Adjusted Death Rate-Drug Overdoses,18.4
Cook,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Coweta,2020,Age-Adjusted Death Rate-Drug Overdoses,13.7
Crawford,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Crisp,2020,Age-Adjusted Death Rate-Drug Overdoses,24.0
Dade,2020,Age-Adjusted Death Rate-Drug Overdoses,45.4
Dawson,2020,Age-Adjusted Death Rate-Drug Overdoses,21.6
Decatur,2020,Age-Adjusted Death Rate-Drug Overdoses,*
DeKalb,2020,Age-Adjusted Death Rate-Drug Overdoses,14.0
Dodge,2020,Age-Adjusted Death Rate-Drug Overdoses,39.0
Dooly,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Dougherty,2020,Age-Adjusted Death Rate-Drug Overdoses,16.4
Douglas,2020,Age-Adjusted Death Rate-Drug Overdoses,20.1
Early,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Echols,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Effingham,2020,Age-Adjusted Death Rate-Drug Overdoses,14.3
Elbert,2020,Age-Adjusted Death Rate-Drug Overdoses,48.7
Emanuel,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Evans,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Fannin,2020,Age-Adjusted Death Rate-Drug Overdoses,32.5
Fayette,2020,Age-Adjusted Death Rate-Drug Overdoses,11.3
Floyd,2020,Age-Adjusted Death Rate-Drug Overdoses,20.6
Forsyth,2020,Age-Adjusted Death Rate-Drug Overdoses,9.2
Franklin,2020,Age-Adjusted Death Rate-Drug Overdoses,28.4
Fulton,2020,Age-Adjusted Death Rate-Drug Overdoses,17.0
Gilmer,2020,Age-Adjusted Death Rate-Drug Overdoses,53.9
Glascock,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Glynn,2020,Age-Adjusted Death Rate-Drug Overdoses,28.1
Gordon,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Grady,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Greene,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Gwinnett,2020,Age-Adjusted Death Rate-Drug Overdoses,12.5
Habersham,2020,Age-Adjusted Death Rate-Drug Overdoses,33.8
Hall,2020,Age-Adjusted Death Rate-Drug Overdoses,16.9
Hancock,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Haralson,2020,Age-Adjusted Death Rate-Drug Overdoses,48.6
Harris,2020,Age-Adjusted Death Rate-Drug Overdoses,18.4
Hart,2020,Age-Adjusted Death Rate-Drug Overdoses,20.3
Heard,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Henry,2020,Age-Adjusted Death Rate-Drug Overdoses,14.7
Houston,2020,Age-Adjusted Death Rate-Drug Overdoses,12.7
Irwin,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Jackson,2020,Age-Adjusted Death Rate-Drug Overdoses,20.6
Jasper,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Jefferson,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Jenkins,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Johnson,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Jones,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Lamar,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Lanier,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Laurens,2020,Age-Adjusted Death Rate-Drug Overdoses,17.5
Lee,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Liberty,2020,Age-Adjusted Death Rate-Drug Overdoses,16.1
Lincoln,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Long,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Lowndes,2020,Age-Adjusted Death Rate-Drug Overdoses,6.0
Lumpkin,2020,Age-Adjusted Death Rate-Drug Overdoses,32.0
McDuffie,2020,Age-Adjusted Death Rate-Drug Overdoses,31.5
McIntosh,2020,Age-Adjusted Death Rate-Drug Overdoses,39.4
Macon,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Madison,2020,Age-Adjusted Death Rate-Drug Overdoses,24.4
Marion,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Meriwether,2020,Age-Adjusted Death Rate-Drug Overdoses,18.8
Miller,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Mitchell,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Monroe,2020,Age-Adjusted Death Rate-Drug Overdoses,16.7
Montgomery,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Morgan,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Murray,2020,Age-Adjusted Death Rate-Drug Overdoses,27.0
Muscogee,2020,Age-Adjusted Death Rate-Drug Overdoses,17.4
Newton,2020,Age-Adjusted Death Rate-Drug Overdoses,17.0
Oconee,2020,Age-Adjusted Death Rate-Drug Overdoses,14.8
Oglethorpe,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Paulding,2020,Age-Adjusted Death Rate-Drug Overdoses,25.3
Peach,2020,Age-Adjusted Death Rate-Drug Overdoses,27.2
Pickens,2020,Age-Adjusted Death Rate-Drug Overdoses,25.8
Pierce,2020,Age-Adjusted Death Rate-Drug Overdoses,37.0
Pike,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Polk,2020,Age-Adjusted Death Rate-Drug Overdoses,32.0
Pulaski,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Putnam,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Quitman,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Rabun,2020,Age-Adjusted Death Rate-Drug Overdoses,27.2
Randolph,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Richmond,2020,Age-Adjusted Death Rate-Drug Overdoses,35.3
Rockdale,2020,Age-Adjusted Death Rate-Drug Overdoses,19.9
Schley,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Screven,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Seminole,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Spalding,2020,Age-Adjusted Death Rate-Drug Overdoses,23.7
Stephens,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Stewart,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Sumter,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Talbot,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Taliaferro,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Tattnall,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Taylor,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Telfair,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Terrell,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Thomas,2020,Age-Adjusted Death Rate-Drug Overdoses,12.7
Tift,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Toombs,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Towns,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Treutlen,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Troup,2020,Age-Adjusted Death Rate-Drug Overdoses,24.7
Turner,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Twiggs,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Union,2020,Age-Adjusted Death Rate-Drug Overdoses,55.1
Upson,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Walker,2020,Age-Adjusted Death Rate-Drug Overdoses,35.7
Walton,2020,Age-Adjusted Death Rate-Drug Overdoses,27.3
Ware,2020,Age-Adjusted Death Rate-Drug Overdoses,34.1
Warren,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Washington,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Wayne,2020,Age-Adjusted Death Rate-Drug Overdoses,28.3
Webster,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Wheeler,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
White,2020,Age-Adjusted Death Rate-Drug Overdoses,30.1
Whitfield,2020,Age-Adjusted Death Rate-Drug Overdoses,17.1
Wilcox,2020,Age-Adjusted Death Rate-Drug Overdoses,0.0
Wilkes,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Wilkinson,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Worth,2020,Age-Adjusted Death Rate-Drug Overdoses,*
Appling,2020,Percent of Deaths by Cause-All Opioids,*
Atkinson,2020,Percent of Deaths by Cause-All Opioids,*
Bacon,2020,Percent of Deaths by Cause-All Opioids,0.0
Baker,2020,Percent of Deaths by Cause-All Opioids,0.0
Baldwin,2020,Percent of Deaths by Cause-All Opioids,*
Banks,2020,Percent of Deaths by Cause-All Opioids,*
Barrow,2020,Percent of Deaths by Cause-All Opioids,1.5
Bartow,2020,Percent of Deaths by Cause-All Opioids,2.0
Berrien,2020,Percent of Deaths by Cause-All Opioids,*
Bibb,2020,Percent of Deaths by Cause-All Opioids,0.5
Bleckley,2020,Percent of Deaths by Cause-All Opioids,*
Brantley,2020,Percent of Deaths by Cause-All Opioids,*
Brooks,2020,Percent of Deaths by Cause-All Opioids,0.0
Bryan,2020,Percent of Deaths by Cause-All Opioids,1.7
Bulloch,2020,Percent of Deaths by Cause-All Opioids,*
Burke,2020,Percent of Deaths by Cause-All Opioids,*
Butts,2020,Percent of Deaths by Cause-All Opioids,1.5
Calhoun,2020,Percent of Deaths by Cause-All Opioids,0.0
Camden,2020,Percent of Deaths by Cause-All Opioids,1.8
Candler,2020,Percent of Deaths by Cause-All Opioids,*
Carroll,2020,Percent of Deaths by Cause-All Opioids,2.0
Catoosa,2020,Percent of Deaths by Cause-All Opioids,1.5
Charlton,2020,Percent of Deaths by Cause-All Opioids,*
Chatham,2020,Percent of Deaths by Cause-All Opioids,1.6
Chattahoochee,2020,Percent of Deaths by Cause-All Opioids,*
Chattooga,2020,Percent of Deaths by Cause-All Opioids,*
Cherokee,2020,Percent of Deaths by Cause-All Opioids,2.3
Clarke,2020,Percent of Deaths by Cause-All Opioids,1.3
Clay,2020,Percent of Deaths by Cause-All Opioids,*
Clayton,2020,Percent of Deaths by Cause-All Opioids,1.1
Clinch,2020,Percent of Deaths by Cause-All Opioids,*
Cobb,2020,Percent of Deaths by Cause-All Opioids,2.1
Coffee,2020,Percent of Deaths by Cause-All Opioids,*
Colquitt,2020,Percent of Deaths by Cause-All Opioids,1.1
Columbia,2020,Percent of Deaths by Cause-All Opioids,1.8
Cook,2020,Percent of Deaths by Cause-All Opioids,*
Coweta,2020,Percent of Deaths by Cause-All Opioids,0.8
Crawford,2020,Percent of Deaths by Cause-All Opioids,0.0
Crisp,2020,Percent of Deaths by Cause-All Opioids,*
Dade,2020,Percent of Deaths by Cause-All Opioids,*
Dawson,2020,Percent of Deaths by Cause-All Opioids,*
Decatur,2020,Percent of Deaths by Cause-All Opioids,*
DeKalb,2020,Percent of Deaths by Cause-All Opioids,1.5
Dodge,2020,Percent of Deaths by Cause-All Opioids,*
Dooly,2020,Percent of Deaths by Cause-All Opioids,*
Dougherty,2020,Percent of Deaths by Cause-All Opioids,*
Douglas,2020,Percent of Deaths by Cause-All Opioids,2.0
Early,2020,Percent of Deaths by Cause-All Opioids,0.0
Echols,2020,Percent of Deaths by Cause-All Opioids,0.0
Effingham,2020,Percent of Deaths by Cause-All Opioids,1.6
Elbert,2020,Percent of Deaths by Cause-All Opioids,1.4
Emanuel,2020,Percent of Deaths by Cause-All Opioids,*
Evans,2020,Percent of Deaths by Cause-All Opioids,0.0
Fannin,2020,Percent of Deaths by Cause-All Opioids,*
Fayette,2020,Percent of Deaths by Cause-All Opioids,0.8
Floyd,2020,Percent of Deaths by Cause-All Opioids,1.2
Forsyth,2020,Percent of Deaths by Cause-All Opioids,1.4
Franklin,2020,Percent of Deaths by Cause-All Opioids,*
Fulton,2020,Percent of Deaths by Cause-All Opioids,1.6
Gilmer,2020,Percent of Deaths by Cause-All Opioids,1.9
Glascock,2020,Percent of Deaths by Cause-All Opioids,0.0
Glynn,2020,Percent of Deaths by Cause-All Opioids,1.5
Gordon,2020,Percent of Deaths by Cause-All Opioids,*
Grady,2020,Percent of Deaths by Cause-All Opioids,*
Greene,2020,Percent of Deaths by Cause-All Opioids,*
Gwinnett,2020,Percent of Deaths by Cause-All Opioids,1.7
Habersham,2020,Percent of Deaths by Cause-All Opioids,1.9
Hall,2020,Percent of Deaths by Cause-All Opioids,1.3
Hancock,2020,Percent of Deaths by Cause-All Opioids,0.0
Haralson,2020,Percent of Deaths by Cause-All Opioids,1.7
Harris,2020,Percent of Deaths by Cause-All Opioids,1.7
Hart,2020,Percent of Deaths by Cause-All Opioids,*
Heard,2020,Percent of Deaths by Cause-All Opioids,*
Henry,2020,Percent of Deaths by Cause-All Opioids,1.3
Houston,2020,Percent of Deaths by Cause-All Opioids,1.0
Irwin,2020,Percent of Deaths by Cause-All Opioids,0.0
Jackson,2020,Percent of Deaths by Cause-All Opioids,1.1
Jasper,2020,Percent of Deaths by Cause-All Opioids,*
Jefferson,2020,Percent of Deaths by Cause-All Opioids,0.0
Jenkins,2020,Percent of Deaths by Cause-All Opioids,*
Johnson,2020,Percent of Deaths by Cause-All Opioids,0.0
Jones,2020,Percent of Deaths by Cause-All Opioids,*
Lamar,2020,Percent of Deaths by Cause-All Opioids,0.0
Lanier,2020,Percent of Deaths by Cause-All Opioids,0.0
Laurens,2020,Percent of Deaths by Cause-All Opioids,*
Lee,2020,Percent of Deaths by Cause-All Opioids,*
Liberty,2020,Percent of Deaths by Cause-All Opioids,1.1
Lincoln,2020,Percent of Deaths by Cause-All Opioids,*
Long,2020,Percent of Deaths by Cause-All Opioids,*
Lowndes,2020,Percent of Deaths by Cause-All Opioids,0.4
Lumpkin,2020,Percent of Deaths by Cause-All Opioids,2.3
McDuffie,2020,Percent of Deaths by Cause-All Opioids,*
McIntosh,2020,Percent of Deaths by Cause-All Opioids,*
Macon,2020,Percent of Deaths by Cause-All Opioids,0.0
Madison,2020,Percent of Deaths by Cause-All Opioids,1.5
Marion,2020,Percent of Deaths by Cause-All Opioids,*
Meriwether,2020,Percent of Deaths by Cause-All Opioids,*
Miller,2020,Percent of Deaths by Cause-All Opioids,*
Mitchell,2020,Percent of Deaths by Cause-All Opioids,0.0
Monroe,2020,Percent of Deaths by Cause-All Opioids,*
Montgomery,2020,Percent of Deaths by Cause-All Opioids,*
Morgan,2020,Percent of Deaths by Cause-All Opioids,*
Murray,2020,Percent of Deaths by Cause-All Opioids,*
Muscogee,2020,Percent of Deaths by Cause-All Opioids,0.5
Newton,2020,Percent of Deaths by Cause-All Opioids,1.1
Oconee,2020,Percent of Deaths by Cause-All Opioids,1.5
Oglethorpe,2020,Percent of Deaths by Cause-All Opioids,*
Paulding,2020,Percent of Deaths by Cause-All Opioids,2.3
Peach,2020,Percent of Deaths by Cause-All Opioids,*
Pickens,2020,Percent of Deaths by Cause-All Opioids,1.2
Pierce,2020,Percent of Deaths by Cause-All Opioids,1.7
Pike,2020,Percent of Deaths by Cause-All Opioids,*
Polk,2020,Percent of Deaths by Cause-All Opioids,1.2
