County,Year,Variable,Average,CI_Low,CI_High
Bulloch,2022,Preventable Hospitalization Rate,5716.0,,
Bulloch,2022,% Unemployed,6.53430578,,
Bulloch,2022,% Children in Poverty,23.1,15.474468085,30.725531915
Bulloch,2022,Injury Death Rate,56.611444776,49.130628832,64.092260719
Bulloch,2022,Drug Overdose Mortality Rate,5.4680894916,2.9115273598,9.3505995626
Bulloch,2022,Median Household Income,48629.0,42896.744681,54361.255319
Bulloch,2022,Suicide Rate (Age-Adjusted),10.84160555,7.5515755027,15.078048836
Burke,2022,Average Number of Physically Unhealthy Days,5.2433992912,4.9963046306,5.5029108282
Burke,2022,Average Number of Mentally Unhealthy Days,5.7877226869,5.5260384362,6.0314682721
Burke,2022,% Adults with Obesity,38.3,37.0,39.5
Burke,2022,% Excessive Drinking,15.871180007,15.191010274,16.544021281
Burke,2022,Teen Birth Rate,34.068912118,29.035552002,39.102272233
Burke,2022,% Uninsured,15.109441359,13.20305838,17.015824338
Burke,2022,Preventable Hospitalization Rate,4805.0,,
Burke,2022,% Unemployed,7.16818081,,
Burke,2022,% Children in Poverty,31.6,19.446808511,43.753191489
Burke,2022,Injury Death Rate,106.51139672,87.454089812,125.56870363
Burke,2022,Drug Overdose Mortality Rate,22.237376583,12.446090866,36.677170919
Burke,2022,Median Household Income,44870.0,40169.574468,49570.425532
Burke,2022,Suicide Rate (Age-Adjusted),10.898164104,5.8028133976,18.636192525
Butts,2022,Average Number of Physically Unhealthy Days,5.1775468905,4.9056071302,5.4436223424
Butts,2022,Average Number of Mentally Unhealthy Days,5.6988516888,5.4344642086,5.9632878015
Butts,2022,% Adults with Obesity,36.7,35.4,37.9
Butts,2022,% Excessive Drinking,16.53902082,15.757083296,17.362159234
Butts,2022,Teen Birth Rate,33.974072418,28.572976555,39.375168282
Butts,2022,% Uninsured,15.301939058,13.395556079,17.208322037
Butts,2022,Preventable Hospitalization Rate,3443.0,,
Butts,2022,% Unemployed,6.18307105,,
Butts,2022,% Children in Poverty,37.0,30.804255319,43.195744681
Butts,2022,Injury Death Rate,111.08297735,92.41341537,129.75253933
Butts,2022,Drug Overdose Mortality Rate,20.119374958,11.260661435,33.183849335
Butts,2022,Median Household Income,52720.0,44124.595745,61315.404255
Butts,2022,Suicide Rate (Age-Adjusted),22.558978683,14.990277505,32.604005216
Calhoun,2022,Average Number of Physically Unhealthy Days,5.9410727744,5.6296378822,6.2383292161
Calhoun,2022,Average Number of Mentally Unhealthy Days,5.8206827068,5.5456644291,6.0687688896
Calhoun,2022,% Adults with Obesity,43.4,42.2,44.8
Calhoun,2022,% Excessive Drinking,14.732271478,13.96594363,15.497432628
Calhoun,2022,Teen Birth Rate,37.135278515,26.763842381,50.196108557
Calhoun,2022,% Uninsured,18.408104197,16.14427441,20.671933984
Calhoun,2022,Preventable Hospitalization Rate,4925.0,,
Calhoun,2022,% Unemployed,5.05140814,,
Calhoun,2022,% Children in Poverty,35.9,22.555319149,49.244680851
Calhoun,2022,Injury Death Rate,69.72837628,43.698402181,105.56959965
Calhoun,2022,Drug Overdose Mortality Rate,,,
Calhoun,2022,Median Household Income,37984.0,31845.446809,44122.553191
Calhoun,2022,Suicide Rate (Age-Adjusted),,,
Camden,2022,Average Number of Physically Unhealthy Days,4.4565303827,4.2025015229,4.7219442029
Camden,2022,Average Number of Mentally Unhealthy Days,5.2186119626,4.9438698805,5.4845757219
Camden,2022,% Adults with Obesity,35.1,33.7,36.4
Camden,2022,% Excessive Drinking,18.798179684,17.958229836,19.674118707
Camden,2022,Teen Birth Rate,25.085845097,22.054000525,28.117689669
Camden,2022,% Uninsured,14.195019448,12.28863647,16.101402427
Camden,2022,Preventable Hospitalization Rate,4436.0,,
Camden,2022,% Unemployed,4.7275831,,
Camden,2022,% Children in Poverty,12.9,7.7765957447,18.023404255
Camden,2022,Injury Death Rate,59.306924454,50.117221302,68.496627607
Camden,2022,Drug Overdose Mortality Rate,14.047431458,8.9048665415,21.078044411
Camden,2022,Median Household Income,67525.0,59969.765957,75080.234043
Camden,2022,Suicide Rate (Age-Adjusted),14.593655322,10.275280131,20.115431499
Candler,2022,Average Number of Physically Unhealthy Days,5.7710339377,5.4795929454,6.0629791325
Candler,2022,Average Number of Mentally Unhealthy Days,6.0121138956,5.7269704184,6.2662845284
Candler,2022,% Adults with Obesity,39.3,38.1,40.6
Candler,2022,% Excessive Drinking,16.3933277,15.733774618,17.115950359
Candler,2022,Teen Birth Rate,35.7439734,28.590564939,44.143516368
Candler,2022,% Uninsured,22.241908812,19.858930088,24.624887535
Candler,2022,Preventable Hospitalization Rate,5053.0,,
Candler,2022,% Unemployed,4.43813243,,
Candler,2022,% Children in Poverty,31.8,19.527659574,44.072340426
Candler,2022,Injury Death Rate,90.187922181,66.721521321,119.23321601
Candler,2022,Drug Overdose Mortality Rate,,,
Candler,2022,Median Household Income,42583.0,34989.638298,50176.361702
Candler,2022,Suicide Rate (Age-Adjusted),18.147927297,8.7026365417,33.374684441
Carroll,2022,Average Number of Physically Unhealthy Days,4.7417362743,4.4658798273,5.0301431577
Carroll,2022,Average Number of Mentally Unhealthy Days,5.4802950871,5.2052352606,5.7277413238
Carroll,2022,% Adults with Obesity,34.0,32.9,35.3
Carroll,2022,% Excessive Drinking,17.950070924,17.140404889,18.768911638
Carroll,2022,Teen Birth Rate,25.902050579,24.198387406,27.605713752
Carroll,2022,% Uninsured,16.691565389,14.904331347,18.478799432
Carroll,2022,Preventable Hospitalization Rate,4400.0,,
Carroll,2022,% Unemployed,6.36255163,,
Carroll,2022,% Children in Poverty,21.5,16.019148936,26.980851064
Carroll,2022,Injury Death Rate,86.895165025,79.397486198,94.392843852
Carroll,2022,Drug Overdose Mortality Rate,23.071834016,18.376587008,28.601009545
Carroll,2022,Median Household Income,64554.0,59191.106383,69916.893617
Carroll,2022,Suicide Rate (Age-Adjusted),18.190748272,14.710305289,21.671191256
Catoosa,2022,Average Number of Physically Unhealthy Days,4.3343292642,4.0159954032,4.6429071734
Catoosa,2022,Average Number of Mentally Unhealthy Days,5.3364739011,4.9848762307,5.6550690138
Catoosa,2022,% Adults with Obesity,34.7,33.1,36.3
Catoosa,2022,% Excessive Drinking,19.390382707,18.396127618,20.410383331
Catoosa,2022,Teen Birth Rate,25.157673441,22.555241848,27.760105034
Catoosa,2022,% Uninsured,12.654655958,11.105719788,14.203592129
Catoosa,2022,Preventable Hospitalization Rate,3577.0,,
Catoosa,2022,% Unemployed,4.34515961,,
Catoosa,2022,% Children in Poverty,14.2,8.6,19.8
Catoosa,2022,Injury Death Rate,73.821827447,64.633953615,83.009701279
Catoosa,2022,Drug Overdose Mortality Rate,17.734339593,12.420913426,24.551801262
Catoosa,2022,Median Household Income,61906.0,53651.361702,70160.638298
Catoosa,2022,Suicide Rate (Age-Adjusted),20.728782128,16.06452143,26.324820564
Charlton,2022,Average Number of Physically Unhealthy Days,5.7071683962,5.424966229,5.9980086613
Charlton,2022,Average Number of Mentally Unhealthy Days,5.8550035953,5.5988702671,6.0822576895
Charlton,2022,% Adults with Obesity,38.7,37.5,40.0
Charlton,2022,% Excessive Drinking,16.381112896,15.608031433,17.196225823
Charlton,2022,Teen Birth Rate,38.674033149,30.520942167,48.335905826
Charlton,2022,% Uninsured,20.308571429,17.925592705,22.691550152
Charlton,2022,Preventable Hospitalization Rate,5308.0,,
Charlton,2022,% Unemployed,3.75877736,,
Charlton,2022,% Children in Poverty,30.6,20.472340426,40.727659574
Charlton,2022,Injury Death Rate,89.228023753,67.754579367,115.34791198
Charlton,2022,Drug Overdose Mortality Rate,,,
Charlton,2022,Median Household Income,46061.0,37788.489362,54333.510638
Charlton,2022,Suicide Rate (Age-Adjusted),21.57686777,11.796274392,36.202317779
Chatham,2022,Average Number of Physically Unhealthy Days,4.2452046741,4.0053161367,4.4900154741
Chatham,2022,Average Number of Mentally Unhealthy Days,4.9810739687,4.7368513119,5.2181176551
Chatham,2022,% Adults with Obesity,33.1,32.0,34.2
Chatham,2022,% Excessive Drinking,18.697758976,18.085213609,19.369716007
Chatham,2022,Teen Birth Rate,21.136732899,20.036572989,22.236892809
Chatham,2022,% Uninsured,16.429550834,14.880614663,17.978487004
Chatham,2022,Preventable Hospitalization Rate,3749.0,,
Chatham,2022,% Unemployed,7.61780831,,
Chatham,2022,% Children in Poverty,24.5,17.946808511,31.053191489
Chatham,2022,Injury Death Rate,77.987332757,73.43815227,82.536513245
Chatham,2022,Drug Overdose Mortality Rate,17.164158472,14.408118877,19.920198068
Chatham,2022,Median Household Income,56357.0,49663.212766,63050.787234
Chatham,2022,Suicide Rate (Age-Adjusted),15.732627506,13.688220739,17.777034273
Chattahoochee,2022,Average Number of Physically Unhealthy Days,4.6986036399,4.4655698386,4.926399191
Chattahoochee,2022,Average Number of Mentally Unhealthy Days,5.0845622301,4.8475499301,5.3169140121
Chattahoochee,2022,% Adults with Obesity,37.2,35.8,38.5
Chattahoochee,2022,% Excessive Drinking,17.893432274,17.127733516,18.732140015
Chattahoochee,2022,Teen Birth Rate,41.017227235,30.443776651,54.076100627
Chattahoochee,2022,% Uninsured,10.656689459,8.5120086084,12.80137031
Chattahoochee,2022,Preventable Hospitalization Rate,2490.0,,
Chattahoochee,2022,% Unemployed,6.23742455,,
Chattahoochee,2022,% Children in Poverty,14.7,8.8617021277,20.538297872
Chattahoochee,2022,Injury Death Rate,52.427584399,34.837749089,75.772456688
Chattahoochee,2022,Drug Overdose Mortality Rate,,,
Chattahoochee,2022,Median Household Income,51811.0,42257.638298,61364.361702
Chattahoochee,2022,Suicide Rate (Age-Adjusted),25.133530894,10.850874715,49.523075406
Chattooga,2022,Average Number of Physically Unhealthy Days,5.5679033309,5.2515080798,5.9016354697
Chattooga,2022,Average Number of Mentally Unhealthy Days,6.0860563964,5.7601462109,6.4003354241
Chattooga,2022,% Adults with Obesity,37.7,36.2,39.0
Chattooga,2022,% Excessive Drinking,17.963821464,17.082208238,18.926970428
Chattooga,2022,Teen Birth Rate,56.246299586,49.716082828,62.776516343
Chattooga,2022,% Uninsured,17.313729594,15.288197679,19.339261509
Chattooga,2022,Preventable Hospitalization Rate,5651.0,,
Chattooga,2022,% Unemployed,8.3956179,,
Chattooga,2022,% Children in Poverty,26.7,18.00212766,35.39787234
Chattooga,2022,Injury Death Rate,110.46961682,91.97102646,128.96820719
Chattooga,2022,Drug Overdose Mortality Rate,29.561151272,18.525816119,44.755938281
Chattooga,2022,Median Household Income,44399.0,36890.234043,51907.765957
Chattooga,2022,Suicide Rate (Age-Adjusted),18.125219538,11.358978586,27.441800202
Cherokee,2022,Average Number of Physically Unhealthy Days,3.7086604495,3.4463632519,4.0025209745
Cherokee,2022,Average Number of Mentally Unhealthy Days,4.6515091173,4.3483910983,4.9532294974
Cherokee,2022,% Adults with Obesity,32.5,31.0,33.8
Cherokee,2022,% Excessive Drinking,18.893177533,18.166038951,19.627602918
Cherokee,2022,Teen Birth Rate,10.211949351,9.3920857733,11.03181293
Cherokee,2022,% Uninsured,14.329962073,13.019323775,15.640600371
Cherokee,2022,Preventable Hospitalization Rate,3465.0,,
Cherokee,2022,% Unemployed,4.85850652,,
Cherokee,2022,% Children in Poverty,8.8,6.1787234043,11.421276596
Cherokee,2022,Injury Death Rate,56.885514155,52.733200737,61.037827573
Cherokee,2022,Drug Overdose Mortality Rate,17.733321682,14.774582927,20.692060438
Cherokee,2022,Median Household Income,90675.0,83259.170213,98090.829787
Cherokee,2022,Suicide Rate (Age-Adjusted),15.044763736,12.895675201,17.193852272
Clarke,2022,Average Number of Physically Unhealthy Days,4.8444469566,4.5747763202,5.1259383694
Clarke,2022,Average Number of Mentally Unhealthy Days,5.3116495256,5.0492232548,5.5902739407
Clarke,2022,% Adults with Obesity,36.3,35.0,37.5
Clarke,2022,% Excessive Drinking,18.997938896,18.258393916,19.699935766
Clarke,2022,Teen Birth Rate,10.627821092,9.712580177,11.543062006
Clarke,2022,% Uninsured,16.763468465,14.857085487,18.669851444
Clarke,2022,Preventable Hospitalization Rate,3734.0,,
Clarke,2022,% Unemployed,6.44778889,,
Clarke,2022,% Children in Poverty,23.1,13.806382979,32.393617021
Clarke,2022,Injury Death Rate,49.116300157,43.666200808,54.566399507
Clarke,2022,Drug Overdose Mortality Rate,12.778519569,9.4536191242,16.893880548
Clarke,2022,Median Household Income,46693.0,39383.212766,54002.787234
Clarke,2022,Suicide Rate (Age-Adjusted),13.722467512,10.717360976,17.309025566
Clay,2022,Average Number of Physically Unhealthy Days,6.2130235687,5.89049453,6.5527302916
Clay,2022,Average Number of Mentally Unhealthy Days,6.3344110093,6.0381665618,6.6301569703
Clay,2022,% Adults with Obesity,44.8,43.2,46.3
Clay,2022,% Excessive Drinking,13.076640728,12.339347237,13.784069098
Clay,2022,Teen Birth Rate,23.593466425,12.562527207,40.345546131
Clay,2022,% Uninsured,17.305751766,14.803624106,19.807879425
Clay,2022,Preventable Hospitalization Rate,6374.0,,
Clay,2022,% Unemployed,12.38839286,,
Clay,2022,% Children in Poverty,43.3,26.380851064,60.219148936
Clay,2022,Injury Death Rate,130.41389251,78.517682506,203.65744781
Clay,2022,Drug Overdose Mortality Rate,,,
Clay,2022,Median Household Income,35937.0,29792.489362,42081.510638
Clay,2022,Suicide Rate (Age-Adjusted),,,
Clayton,2022,Average Number of Physically Unhealthy Days,4.855373197,4.5789058441,5.1422336048
Clayton,2022,Average Number of Mentally Unhealthy Days,5.2130681058,4.9298480135,5.4840622318
Clayton,2022,% Adults with Obesity,39.8,38.5,41.3
Clayton,2022,% Excessive Drinking,13.534041624,12.945119501,14.154461382
Clayton,2022,Teen Birth Rate,26.376369436,25.190966954,27.561771917
Clayton,2022,% Uninsured,18.232584826,16.56449972,19.900669932
