County,Year,Variable,Value,CI_Low,CI_High
Randolph,2011,% Children in Poverty,39.0,29.0,49.0
Paulding,2011,YPLL Rate,7486.3,6960.6,8012.0
Chatham,2011,% Excessive Drinking,16.0,13.2,19.2
Emanuel,2011,% Uninsured,26.7,22.6,30.8
Early,2011,% Uninsured,18.9,15.2,22.6
Pickens,2011,% Children in Poverty,20.4,15.1,25.7
Houston,2011,% Children in Poverty,16.3,12.4,20.2
Hall,2011,Teen Birth Rate,73.4,70.6,76.3
Chattooga,2011,% Children in Poverty,23.1,17.2,29.0
Dawson,2011,% Children in Poverty,16.2,12.0,20.4
Cook,2011,% Excessive Drinking,11.5,6.3,20.1
Pike,2011,Teen Birth Rate,46.0,39.1,52.9
Pulaski,2011,Mammography Rate,55.9322,36.8486,75.0158
Spalding,2011,Teen Birth Rate,86.9,82.0,91.8
Pickens,2011,Mammography Rate,57.2222,46.1712,68.2732
Wilkinson,2011,YPLL Rate,10607.2,8472.1,13116.9
Rabun,2011,Teen Birth Rate,60.9,52.3,69.5
Crawford,2011,% Children in Poverty,24.9,18.6,31.2
Fayette,2011,% Uninsured,16.5,13.5,19.5
Screven,2011,% Uninsured,20.8,16.9,24.7
Putnam,2011,% Uninsured,24.7,20.6,28.8
Turner,2011,% Uninsured,24.3,20.0,28.6
Chattahoochee,2011,% Excessive Drinking,N/A,N/A,N/A
Towns,2011,Teen Birth Rate,27.4,20.9,33.9
Wilkinson,2011,% Excessive Drinking,2.2,0.6,7.5
Colquitt,2011,% Uninsured,27.2,22.8,31.6
Rockdale,2011,Mammography Rate,72.1951,60.5637,83.8266
Columbia,2011,% Children in Poverty,8.7,6.5,10.9
Cook,2011,Teen Birth Rate,82.8,73.9,91.8
Montgomery,2011,% Children in Poverty,30.4,22.5,38.3
Morgan,2011,% Excessive Drinking,10.3,5.3,19.0
Monroe,2011,% Excessive Drinking,N/A,N/A,N/A
Lanier,2011,ER Visit Rate-All Other Unintentional Injury,5469.1,N/A,N/A
Lamar,2011,ER Visit Rate-All Other Unintentional Injury,4666.4,N/A,N/A
Brantley,2011,ER Visit Rate-All Other Unintentional Injury,4399.2,N/A,N/A
Worth,2011,Mammography Rate,47.9452,32.0609,63.8295
Colquitt,2011,ER Visit Rate-All Other Unintentional Injury,6013.8,N/A,N/A
Crawford,2011,ER Visit Rate-All Other Unintentional Injury,4161.7,N/A,N/A
Fannin,2011,ACSC Rate,106.363,98.7097,114.0162
Laurens,2011,ER Visit Rate-All Other Unintentional Injury,4842.6,N/A,N/A
Oglethorpe,2011,Homicide Rate,5.3,1.7,12.5
Tift,2011,YPLL Rate,9278.8,8260.0,10297.6
Charlton,2011,ER Visit Rate-All Other Unintentional Injury,3762.5,N/A,N/A
Polk,2011,% Excessive Drinking,8.2,4.0,16.3
Monroe,2011,% Uninsured,19.6,16.0,23.2
Oconee,2011,ER Visit Rate-All Other Unintentional Injury,2493.6,N/A,N/A
White,2011,Teen Birth Rate,53.8,47.3,60.3
Dooly,2011,% Uninsured,19.8,16.0,23.6
Putnam,2011,YPLL Rate,9588.8,7962.3,11215.2
Lee,2011,ER Visit Rate-All Other Unintentional Injury,4045.5,N/A,N/A
Lincoln,2011,ER Visit Rate-All Other Unintentional Injury,2823.7,N/A,N/A
Dawson,2011,Mammography Rate,64.557,46.839,82.2749
Dade,2011,Homicide Rate,1.8,0.2,6.5
Grady,2011,Mammography Rate,76.4706,57.88,95.0612
Grady,2011,Homicide Rate,7.1,3.7,12.4
Dooly,2011,Teen Birth Rate,92.9,80.9,105.0
Wheeler,2011,Homicide Rate,2.2,0.1,12.1
Chattahoochee,2011,ER Visit Rate-All Other Unintentional Injury,1106.5,N/A,N/A
Candler,2011,ER Visit Rate-All Other Unintentional Injury,6793.2,N/A,N/A
Calhoun,2011,ER Visit Rate-All Other Unintentional Injury,4629.1,N/A,N/A
Butts,2011,ER Visit Rate-All Other Unintentional Injury,6373.4,N/A,N/A
Burke,2011,ER Visit Rate-All Other Unintentional Injury,5322.5,N/A,N/A
Bryan,2011,ER Visit Rate-All Other Unintentional Injury,3289.0,N/A,N/A
Polk,2011,ER Visit Rate-All Other Unintentional Injury,8439.5,N/A,N/A
Floyd,2011,% Children in Poverty,25.3,20.2,30.4
Paulding,2011,% Uninsured,17.7,14.5,20.9
Glynn,2011,ACSC Rate,61.6443,58.0907,65.1979
Chattooga,2011,ER Visit Rate-All Other Unintentional Injury,4072.1,N/A,N/A
Harris,2011,Teen Birth Rate,31.3,26.9,35.7
Randolph,2011,ER Visit Rate-All Other Unintentional Injury,3770.8,N/A,N/A
Putnam,2011,ER Visit Rate-All Other Unintentional Injury,5289.3,N/A,N/A
Pulaski,2011,ER Visit Rate-All Other Unintentional Injury,4073.3,N/A,N/A
Pike,2011,ER Visit Rate-All Other Unintentional Injury,4242.0,N/A,N/A
Bacon,2011,YPLL Rate,14962.1,12316.4,17607.8
Atkinson,2011,Homicide Rate,1.8,0.0,10.1
Fannin,2011,YPLL Rate,11802.2,10052.8,13551.6
Elbert,2011,ACSC Rate,95.9357,87.859,104.0125
Gilmer,2011,% Excessive Drinking,8.1,4.5,14.1
Elbert,2011,Mammography Rate,58.6957,43.0402,74.3511
Decatur,2011,ER Visit Rate-All Other Unintentional Injury,5911.0,N/A,N/A
Irwin,2011,Teen Birth Rate,58.6,49.2,68.0
Bacon,2011,Homicide Rate,11.2,4.8,22.1
Irwin,2011,ER Visit Rate-All Other Unintentional Injury,4318.6,N/A,N/A
Banks,2011,% Children in Poverty,21.5,15.9,27.1
Irwin,2011,% Uninsured,20.4,16.6,24.2
Crisp,2011,ACSC Rate,101.6755,92.6451,110.7059
Bacon,2011,Mammography Rate,52.381,30.4923,74.2696
Dooly,2011,Homicide Rate,6.2,2.0,14.4
Oglethorpe,2011,ER Visit Rate-All Other Unintentional Injury,3561.2,N/A,N/A
Newton,2011,Teen Birth Rate,62.1,58.6,65.6
Bacon,2011,Teen Birth Rate,85.3,73.0,97.7
Walker,2011,ACSC Rate,76.8063,72.7973,80.8154
Haralson,2011,ER Visit Rate-All Other Unintentional Injury,7291.0,N/A,N/A
Dooly,2011,ER Visit Rate-All Other Unintentional Injury,2721.6,N/A,N/A
Dawson,2011,ER Visit Rate-All Other Unintentional Injury,4221.0,N/A,N/A
Dodge,2011,ER Visit Rate-All Other Unintentional Injury,5083.6,N/A,N/A
Harris,2011,% Uninsured,21.0,17.3,24.7
Spalding,2011,% Excessive Drinking,10.4,5.3,19.5
Clinch,2011,YPLL Rate,10219.0,7869.3,13050.1
Quitman,2011,ER Visit Rate-All Other Unintentional Injury,730.5,N/A,N/A
Murray,2011,ER Visit Rate-All Other Unintentional Injury,5680.4,N/A,N/A
Harris,2011,ER Visit Rate-All Other Unintentional Injury,2222.2,N/A,N/A
Hancock,2011,ER Visit Rate-All Other Unintentional Injury,2883.0,N/A,N/A
Stephens,2011,ER Visit Rate-All Other Unintentional Injury,7030.0,N/A,N/A
Sumter,2011,ER Visit Rate-All Other Unintentional Injury,3989.4,N/A,N/A
Talbot,2011,ER Visit Rate-All Other Unintentional Injury,3392.1,N/A,N/A
Taliaferro,2011,ER Visit Rate-All Other Unintentional Injury,3229.6,N/A,N/A
Seminole,2011,ER Visit Rate-All Other Unintentional Injury,4447.7,N/A,N/A
Stewart,2011,ER Visit Rate-All Other Unintentional Injury,1912.0,N/A,N/A
Echols,2011,ER Visit Rate-All Other Unintentional Injury,3584.4,N/A,N/A
Franklin,2011,ER Visit Rate-All Other Unintentional Injury,5598.2,N/A,N/A
White,2011,Mammography Rate,64.0351,49.3454,78.7248
Glynn,2011,Teen Birth Rate,72.3,68.2,76.4
Banks,2011,ER Visit Rate-All Other Unintentional Injury,4043.6,N/A,N/A
Pierce,2011,ER Visit Rate-All Other Unintentional Injury,5684.6,N/A,N/A
Pierce,2011,YPLL Rate,11431.5,9710.5,13152.5
Crawford,2011,ACSC Rate,77.0813,61.6618,92.5008
Dodge,2011,YPLL Rate,11771.2,10003.5,13539.0
Hancock,2011,Mammography Rate,56.25,30.2638,82.2362
Dooly,2011,YPLL Rate,11434.6,9262.8,13606.3
Murray,2011,Teen Birth Rate,104.0,97.0,111.0
Crisp,2011,YPLL Rate,12696.2,11029.4,14363.1
Marion,2011,% Children in Poverty,36.4,27.4,45.4
Madison,2011,% Uninsured,25.2,21.0,29.4
Jenkins,2011,% Excessive Drinking,3.4,1.0,10.7
Madison,2011,Teen Birth Rate,64.1,57.7,70.5
Madison,2011,% Children in Poverty,21.3,16.0,26.6
Marion,2011,% Excessive Drinking,N/A,N/A,N/A
Elbert,2011,YPLL Rate,11374.7,9711.2,13038.1
Stephens,2011,Teen Birth Rate,65.4,58.9,71.8
Twiggs,2011,ACSC Rate,86.8063,74.2291,99.3834
Dade,2011,Mammography Rate,50.0,33.435,66.565
Morgan,2011,Teen Birth Rate,45.3,38.6,52.1
Meriwether,2011,Teen Birth Rate,69.3,62.4,76.1
Effingham,2011,Homicide Rate,2.6,1.1,5.0
McDuffie,2011,Teen Birth Rate,75.9,68.7,83.0
Bleckley,2011,Homicide Rate,5.9,1.9,13.9
Bleckley,2011,ACSC Rate,127.1119,114.6859,139.5378
Jasper,2011,Teen Birth Rate,57.0,48.4,65.6
Jackson,2011,% Children in Poverty,15.1,11.3,18.9
Fayette,2011,% Children in Poverty,6.5,4.8,8.2
Tift,2011,ACSC Rate,68.9687,63.241,74.6965
Lanier,2011,% Uninsured,22.0,17.8,26.2
Talbot,2011,% Children in Poverty,32.5,24.0,41.0
Baker,2011,Homicide Rate,7.2,0.9,25.9
Berrien,2011,Mammography Rate,57.5758,39.2693,75.8822
Baker,2011,YPLL Rate,10895.7,7053.9,16079.1
Berrien,2011,ACSC Rate,137.7015,125.8315,149.5714
Brooks,2011,ER Visit Rate-All Other Unintentional Injury,5349.6,N/A,N/A
Fayette,2011,ACSC Rate,50.1614,46.9235,53.3993
Troup,2011,Mammography Rate,61.9792,50.8432,73.1151
Warren,2011,Teen Birth Rate,71.2,57.5,85.0
Dade,2011,ER Visit Rate-All Other Unintentional Injury,869.0,N/A,N/A
Haralson,2011,YPLL Rate,11924.2,10539.6,13308.8
Hancock,2011,Homicide Rate,11.9,5.1,23.4
Glascock,2011,ACSC Rate,109.7404,87.9012,131.5796
Gordon,2011,YPLL Rate,9322.0,8404.9,10239.1
Glynn,2011,Homicide Rate,7.4,5.0,9.8
Glynn,2011,Mammography Rate,66.5644,57.7078,75.421
Cook,2011,ER Visit Rate-All Other Unintentional Injury,6446.7,N/A,N/A
Glynn,2011,YPLL Rate,10533.6,9685.0,11382.2
Treutlen,2011,Mammography Rate,66.6667,34.0,99.3333
Gwinnett,2011,% Uninsured,25.5,22.8,28.2
Webster,2011,YPLL Rate,13324.8,8024.3,20804.4
Gwinnett,2011,% Children in Poverty,13.5,11.3,15.7
Jenkins,2011,ER Visit Rate-All Other Unintentional Injury,5854.2,N/A,N/A
Jefferson,2011,ER Visit Rate-All Other Unintentional Injury,5157.4,N/A,N/A
Jasper,2011,ER Visit Rate-All Other Unintentional Injury,5869.6,N/A,N/A
Crisp,2011,ER Visit Rate-All Other Unintentional Injury,3568.1,N/A,N/A
Henry,2011,% Uninsured,17.6,14.4,20.8
Thomas,2011,ACSC Rate,61.5961,57.1789,66.0133
Chatham,2011,YPLL Rate,9526.7,9097.8,9955.6
Crisp,2011,Teen Birth Rate,104.8,96.0,113.5
Treutlen,2011,Homicide Rate,0.0,0.0,0.0
Fannin,2011,Teen Birth Rate,69.5,61.2,77.7
Emanuel,2011,YPLL Rate,11895.5,10312.0,13479.1
Banks,2011,Mammography Rate,44.8276,27.5964,62.0588
Stewart,2011,Teen Birth Rate,80.5,63.6,97.4
Calhoun,2011,ACSC Rate,103.7354,88.3217,119.1492
Clinch,2011,ER Visit Rate-All Other Unintentional Injury,8351.8,N/A,N/A
Stewart,2011,% Uninsured,21.2,17.4,25.0
Crisp,2011,Homicide Rate,11.7,7.0,18.6
McDuffie,2011,% Uninsured,20.2,16.6,23.8
Dade,2011,YPLL Rate,9206.9,7518.8,10894.9
Dade,2011,Teen Birth Rate,38.1,32.6,43.6
Dade,2011,ACSC Rate,71.9789,62.7954,81.1623
Towns,2011,YPLL Rate,9393.7,7335.3,11850.6
Charlton,2011,Homicide Rate,8.1,3.0,17.6
Grady,2011,YPLL Rate,10423.4,9029.4,11817.4
Crisp,2011,Mammography Rate,65.2174,46.1622,84.2726
Franklin,2011,YPLL Rate,9003.5,7696.7,10310.3
Ware,2011,% Uninsured,21.8,18.3,25.3
Clarke,2011,% Excessive Drinking,16.4,12.9,20.6
Chattahoochee,2011,% Uninsured,24.4,20.1,28.7
Chattahoochee,2011,Teen Birth Rate,34.3,28.2,40.5
Warren,2011,% Children in Poverty,35.7,26.3,45.1
Troup,2011,% Excessive Drinking,10.0,5.5,17.6
Ware,2011,% Children in Poverty,31.2,24.0,38.4
Treutlen,2011,% Children in Poverty,39.2,28.9,49.5
Treutlen,2011,% Excessive Drinking,9.1,3.7,20.6
Chattahoochee,2011,% Children in Poverty,16.4,12.1,20.7
Richmond,2011,% Excessive Drinking,16.7,12.9,21.4
Toombs,2011,% Uninsured,26.6,22.2,31.0
Jefferson,2011,Teen Birth Rate,79.2,70.7,87.7
Jefferson,2011,ACSC Rate,106.9802,97.298,116.6624
Jefferson,2011,Mammography Rate,67.1875,47.1053,87.2697
Jeff Davis,2011,YPLL Rate,12547.2,10498.9,14595.5
Irwin,2011,Homicide Rate,7.2,2.3,16.7
Irwin,2011,ACSC Rate,106.1415,91.3569,120.9261
Wheeler,2011,% Excessive Drinking,12.0,6.1,22.2
Putnam,2011,Teen Birth Rate,64.4,56.6,72.2
Crisp,2011,% Excessive Drinking,7.0,3.2,14.4
Thomas,2011,% Uninsured,19.2,15.6,22.8
White,2011,% Children in Poverty,23.1,17.4,28.8
Washington,2011,% Uninsured,20.3,16.5,24.1
Webster,2011,Teen Birth Rate,70.6,47.2,93.9
Columbia,2011,% Excessive Drinking,10.9,7.5,15.6
Bulloch,2011,% Uninsured,29.5,24.5,34.5
Carroll,2011,% Excessive Drinking,14.1,9.1,21.2
Tift,2011,Teen Birth Rate,80.8,75.3,86.2
Thomas,2011,% Children in Poverty,27.9,21.9,33.9
Catoosa,2011,Mammography Rate,62.8205,50.3827,75.2583
Telfair,2011,% Children in Poverty,33.8,25.1,42.5
Treutlen,2011,Teen Birth Rate,78.3,64.0,92.6
Wilkes,2011,% Uninsured,20.0,16.1,23.9
Twiggs,2011,Teen Birth Rate,59.7,50.2,69.3
DeKalb,2011,% Children in Poverty,25.4,21.8,29.0
Webster,2011,% Excessive Drinking,N/A,N/A,N/A
Macon,2011,ACSC Rate,89.1173,78.3467,99.888
Hart,2011,Homicide Rate,5.5,2.5,10.4
Washington,2011,Teen Birth Rate,55.6,49.2,62.0
Heard,2011,YPLL Rate,10574.4,8582.3,12890.2
Crisp,2011,% Uninsured,20.7,16.9,24.5
Dade,2011,% Excessive Drinking,7.4,2.6,19.3
Douglas,2011,Teen Birth Rate,47.0,44.4,49.6
Rockdale,2011,% Uninsured,23.2,19.5,26.9
Jones,2011,% Children in Poverty,16.1,12.0,20.2
Towns,2011,% Uninsured,27.5,22.8,32.2
Schley,2011,Teen Birth Rate,76.0,57.7,94.4
Wilkinson,2011,% Uninsured,23.9,19.8,28.0
Rockdale,2011,% Excessive Drinking,14.7,8.8,23.4
Rockdale,2011,Teen Birth Rate,46.0,43.0,48.9
Houston,2011,YPLL Rate,7527.6,7003.2,8051.9
Dawson,2011,Teen Birth Rate,60.9,53.0,68.8
Schley,2011,% Excessive Drinking,N/A,N/A,N/A
Richmond,2011,% Uninsured,21.9,18.6,25.2
Schley,2011,% Children in Poverty,24.3,18.0,30.6
Screven,2011,Teen Birth Rate,58.9,51.6,66.1
Washington,2011,% Children in Poverty,30.2,22.6,37.8
Liberty,2011,Teen Birth Rate,76.0,71.7,80.3
Webster,2011,% Uninsured,27.8,23.3,32.3
Heard,2011,Teen Birth Rate,57.4,48.1,66.7
Henry,2011,Homicide Rate,4.4,3.2,5.7
Jefferson,2011,YPLL Rate,13091.1,11118.7,15063.4
Rockdale,2011,YPLL Rate,7553.8,6886.5,8221.0
Lincoln,2011,Teen Birth Rate,42.8,33.7,52.0
Seminole,2011,Teen Birth Rate,74.6,63.3,85.9
Emanuel,2011,% Children in Poverty,37.1,27.8,46.4
Wilkes,2011,Teen Birth Rate,61.5,51.5,71.4
Taylor,2011,Homicide Rate,8.2,2.7,19.1
Taylor,2011,Mammography Rate,66.6667,41.973,91.3603
Terrell,2011,% Uninsured,20.1,16.3,23.9
Warren,2011,% Excessive Drinking,N/A,N/A,N/A
White,2011,% Uninsured,27.4,22.9,31.9
Screven,2011,% Children in Poverty,29.8,22.2,37.4
Fulton,2011,Teen Birth Rate,47.7,46.8,48.7
Houston,2011,Teen Birth Rate,46.6,44.3,49.0
Warren,2011,% Uninsured,22.3,18.2,26.4
Webster,2011,% Children in Poverty,29.4,21.7,37.1
Cobb,2011,Teen Birth Rate,37.6,36.6,38.6
Troup,2011,% Uninsured,19.2,15.6,22.8
Wayne,2011,Teen Birth Rate,83.2,76.4,90.1
Habersham,2011,Teen Birth Rate,71.8,66.1,77.6
Brantley,2011,Homicide Rate,8.5,3.9,16.1
Brantley,2011,Mammography Rate,62.5,30.8706,94.1294
Brantley,2011,ACSC Rate,113.6015,95.9435,131.2595
Lanier,2011,ACSC Rate,190.1386,166.2808,213.9965
Brooks,2011,% Uninsured,20.6,16.7,24.5
Brantley,2011,% Uninsured,26.2,21.9,30.5
Brantley,2011,Teen Birth Rate,41.0,34.5,47.5
Bulloch,2011,% Excessive Drinking,18.7,14.2,24.2
Whitfield,2011,% Excessive Drinking,7.0,4.5,10.7
Miller,2011,Teen Birth Rate,55.5,43.6,67.5
Wilcox,2011,% Excessive Drinking,3.6,1.5,8.3
Wilkinson,2011,% Children in Poverty,27.0,19.9,34.1
Wilcox,2011,Teen Birth Rate,79.7,66.3,93.0
Wheeler,2011,% Uninsured,27.4,22.7,32.1
Towns,2011,Homicide Rate,4.2,0.9,12.3
Crawford,2011,% Uninsured,23.9,19.8,28.0
Turner,2011,Mammography Rate,57.5758,31.6865,83.465
Toombs,2011,Homicide Rate,8.6,4.9,13.9
Whitfield,2011,% Children in Poverty,19.8,15.5,24.1
Taylor,2011,% Children in Poverty,33.4,24.8,42.0
Bibb,2011,% Children in Poverty,31.1,25.4,36.8
Brooks,2011,Teen Birth Rate,70.9,62.5,79.2
Brooks,2011,% Children in Poverty,34.4,25.4,43.4
Bryan,2011,% Excessive Drinking,13.5,8.3,21.1
Bryan,2011,% Uninsured,19.0,15.9,22.1
Sumter,2011,% Excessive Drinking,16.9,9.3,28.8
Bryan,2011,% Children in Poverty,15.0,11.1,18.9
Seminole,2011,Mammography Rate,67.7419,38.7682,96.7156
Dodge,2011,Mammography Rate,63.5417,47.5957,79.4876
Whitfield,2011,Teen Birth Rate,110.9,106.1,115.6
Brantley,2011,% Children in Poverty,27.1,20.0,34.2
Colquitt,2011,Teen Birth Rate,96.9,90.9,102.9
Jenkins,2011,Mammography Rate,42.1053,21.4737,62.7368
Sumter,2011,Teen Birth Rate,70.2,64.8,75.7
Turner,2011,ACSC Rate,62.4041,52.0298,72.7785
Wayne,2011,% Excessive Drinking,7.4,3.9,13.6
Wayne,2011,% Children in Poverty,28.4,21.3,35.5
Jackson,2011,Teen Birth Rate,73.0,67.8,78.3
Laurens,2011,Mammography Rate,65.8986,55.0976,76.6996
Laurens,2011,Homicide Rate,6.8,3.9,9.6
Lee,2011,YPLL Rate,6868.1,5832.0,7904.2
Tift,2011,% Children in Poverty,28.9,22.0,35.8
Lee,2011,Teen Birth Rate,29.0,25.3,32.6
Lee,2011,Mammography Rate,56.6038,36.3484,76.8592
