County,Feature,Coefficient,Value
Clayton,% Children in Poverty,c,-0.24030969026568982
Clinch,% Children in Poverty,a,-778795.9176437277
Clinch,% Children in Poverty,b,772.8105895712954
Clinch,% Children in Poverty,c,-0.19170829174834125
Cobb,% Children in Poverty,a,-402268.64210202446
Cobb,% Children in Poverty,b,399.4344154299863
Cobb,% Children in Poverty,c,-0.09915084911256145
Coffee,% Children in Poverty,a,-337762.6628497649
Coffee,% Children in Poverty,b,335.32397573918144
Coffee,% Children in Poverty,c,-0.0832167831461561
Colquitt,% Children in Poverty,a,-759945.6510036332
Colquitt,% Children in Poverty,b,753.9939061482065
Colquitt,% Children in Poverty,c,-0.18701298702649183
Columbia,% Children in Poverty,a,-202570.70197942184
Columbia,% Children in Poverty,b,201.08546451708028
Columbia,% Children in Poverty,c,-0.04990009989555233
Cook,% Children in Poverty,a,-401449.2658575495
Cook,% Children in Poverty,b,398.53406585814326
Cook,% Children in Poverty,c,-0.09890109888226561
Coweta,% Children in Poverty,a,-380383.3500919248
Coweta,% Children in Poverty,b,377.70334659591236
Coweta,% Children in Poverty,c,-0.09375624374200697
Crawford,% Children in Poverty,a,-484782.3287679922
Crawford,% Children in Poverty,b,481.0529969998077
Crawford,% Children in Poverty,c,-0.11933066932988368
Crisp,% Children in Poverty,a,-713777.8660695646
Crisp,% Children in Poverty,b,708.5417583762369
Crisp,% Children in Poverty,c,-0.1758241758575423
Dade,% Children in Poverty,a,-430677.2901805713
Dade,% Children in Poverty,b,427.5256742968797
Dade,% Children in Poverty,c,-0.10609390608681224
Dawson,% Children in Poverty,a,-230813.2250397685
Dawson,% Children in Poverty,b,229.59905081519378
Dawson,% Children in Poverty,c,-0.05709290705974013
DeKalb,% Children in Poverty,a,-573116.5802897965
DeKalb,% Children in Poverty,b,568.9752747950547
DeKalb,% Children in Poverty,c,-0.1412087912261768
Decatur,% Children in Poverty,a,-488565.4023156753
Decatur,% Children in Poverty,b,485.1507991193525
Decatur,% Children in Poverty,c,-0.12042957040932833
Dodge,% Children in Poverty,a,-692440.8474871846
Dodge,% Children in Poverty,b,687.0766234108904
Dodge,% Children in Poverty,c,-0.17042957043804563
Dooly,% Children in Poverty,a,-809221.6618711577
Dooly,% Children in Poverty,b,802.5053448855795
Dooly,% Children in Poverty,c,-0.19895104900797378
Dougherty,% Children in Poverty,a,-666411.8454824159
Dougherty,% Children in Poverty,b,661.1794704579687
Dougherty,% Children in Poverty,c,-0.16398601396826962
Douglas,% Children in Poverty,a,-459596.2040417314
Douglas,% Children in Poverty,b,455.8674824636777
Douglas,% Children in Poverty,c,-0.11303696302360322
Early,% Children in Poverty,a,-519063.0971834783
Early,% Children in Poverty,b,514.8807193604288
Early,% Children in Poverty,c,-0.1276723276920393
Echols,% Children in Poverty,a,-440986.7407177949
Echols,% Children in Poverty,b,438.18666329564945
Echols,% Children in Poverty,c,-0.10884115883101231
Effingham,% Children in Poverty,a,-280828.45383998856
Effingham,% Children in Poverty,b,278.87692307080255
Effingham,% Children in Poverty,c,-0.0692307692292502
Elbert,% Children in Poverty,a,-234514.29859697286
Elbert,% Children in Poverty,b,232.55014964770197
Elbert,% Children in Poverty,c,-0.0576423575921865
Emanuel,% Children in Poverty,a,-815102.7555233198
Emanuel,% Children in Poverty,b,809.1492508273307
Emanuel,% Children in Poverty,c,-0.20079920081855107
Evans,% Children in Poverty,a,-736075.9634304615
Evans,% Children in Poverty,b,730.2731269662005
Evans,% Children in Poverty,c,-0.18111888114196972
Fannin,% Children in Poverty,a,-665088.2013788949
Fannin,% Children in Poverty,b,660.3149350449763
Fannin,% Children in Poverty,c,-0.16388611388106256
Fayette,% Children in Poverty,a,-176012.18223135071
Fayette,% Children in Poverty,b,174.7193805338171
Fayette,% Children in Poverty,c,-0.04335664333544287
Floyd,% Children in Poverty,a,-378788.59633757535
Floyd,% Children in Poverty,b,375.81048954421885
Floyd,% Children in Poverty,c,-0.0932067932151881
Forsyth,% Children in Poverty,a,-91430.14517681733
Forsyth,% Children in Poverty,b,90.97277714540992
Forsyth,% Children in Poverty,c,-0.02262737260817005
Franklin,% Children in Poverty,a,-370547.0847711214
Franklin,% Children in Poverty,b,367.8964035526991
Franklin,% Children in Poverty,c,-0.09130869129785424
Fulton,% Children in Poverty,a,-524742.1221743836
Fulton,% Children in Poverty,b,520.8101398567894
Fulton,% Children in Poverty,c,-0.12922077921996333
Gilmer,% Children in Poverty,a,-813976.9570241781
Gilmer,% Children in Poverty,b,807.9820179633415
Gilmer,% Children in Poverty,c,-0.20049950049485687
Glascock,% Children in Poverty,a,-595032.3774962311
Glascock,% Children in Poverty,b,590.3168332400776
Glascock,% Children in Poverty,c,-0.14640359642180556
Glynn,% Children in Poverty,a,-447693.4358829598
Glynn,% Children in Poverty,b,444.32862139727814
Glynn,% Children in Poverty,c,-0.11023976024438298
Gordon,% Children in Poverty,a,-831992.6295075224
Gordon,% Children in Poverty,b,825.6755744618964
Gordon,% Children in Poverty,c,-0.20484515485406973
Grady,% Children in Poverty,a,-544639.543243431
Grady,% Children in Poverty,b,540.8565434431883
Grady,% Children in Poverty,c,-0.1342657342623852
Greene,% Children in Poverty,a,-694492.1391139133
Greene,% Children in Poverty,b,689.8070428121388
Greene,% Children in Poverty,c,-0.17127872124297028
Gwinnett,% Children in Poverty,a,-353020.57828649174
Gwinnett,% Children in Poverty,b,350.5367631027374
Gwinnett,% Children in Poverty,c,-0.0870129869797438
Habersham,% Children in Poverty,a,-396156.44692486315
Habersham,% Children in Poverty,b,393.4860138590236
Habersham,% Children in Poverty,c,-0.09770229767082128
Hall,% Children in Poverty,a,-604065.7799991086
Hall,% Children in Poverty,b,599.6316183603991
Hall,% Children in Poverty,c,-0.1488011987958089
Hancock,% Children in Poverty,a,-570670.6059040558
Hancock,% Children in Poverty,b,565.857242865957
Hancock,% Children in Poverty,c,-0.14025974028663768
Haralson,% Children in Poverty,a,-432483.12339415547
Haralson,% Children in Poverty,b,429.7336164011099
Haralson,% Children in Poverty,c,-0.10674325674762031
Harris,% Children in Poverty,a,-323006.5602662677
Harris,% Children in Poverty,b,320.6426074190381
Harris,% Children in Poverty,c,-0.07957042957701788
Hart,% Children in Poverty,a,-555946.3277013699
Hart,% Children in Poverty,b,551.8990009285606
Hart,% Children in Poverty,c,-0.1369630369455308
Heard,% Children in Poverty,a,-467409.47425244324
Heard,% Children in Poverty,b,464.1784713566922
Heard,% Children in Poverty,c,-0.11523476519215592
Henry,% Children in Poverty,a,-423678.6964525086
Henry,% Children in Poverty,b,420.4266732761215
Henry,% Children in Poverty,c,-0.10429570428317447
Houston,% Children in Poverty,a,-673354.9425187745
Houston,% Children in Poverty,b,668.1368631975031
Houston,% Children in Poverty,c,-0.16573426574927907
Irwin,% Children in Poverty,a,-444581.69488334656
Irwin,% Children in Poverty,b,441.2770230543001
Irwin,% Children in Poverty,c,-0.10949050950961237
Jackson,% Children in Poverty,a,-330808.56431557826
Jackson,% Children in Poverty,b,328.74400587508654
Jackson,% Children in Poverty,c,-0.08166833163886622
Jasper,% Children in Poverty,a,-664888.2452316886
Jasper,% Children in Poverty,b,660.1139859911796
Jasper,% Children in Poverty,c,-0.16383616383052413
Jeff Davis,% Children in Poverty,a,-606181.774243333
Jeff Davis,% Children in Poverty,b,601.4919580596048
Jeff Davis,% Children in Poverty,c,-0.14920079920523222
Jefferson,% Children in Poverty,a,-516237.58285603626
Jefferson,% Children in Poverty,b,512.5710787612112
Jefferson,% Children in Poverty,c,-0.1272227771830785
Jenkins,% Children in Poverty,a,-924465.3916288303
Jenkins,% Children in Poverty,b,917.5752247955817
Jenkins,% Children in Poverty,c,-0.22767232767739642
Johnson,% Children in Poverty,a,-593390.0548109817
Johnson,% Children in Poverty,b,588.8035964689603
Johnson,% Children in Poverty,c,-0.14605394607019662
Jones,% Children in Poverty,a,-461988.84601011884
Jones,% Children in Poverty,b,458.2623876678401
Jones,% Children in Poverty,c,-0.11363636365007324
Lamar,% Children in Poverty,a,-741181.2967949692
Lamar,% Children in Poverty,b,735.4175825088137
Lamar,% Children in Poverty,c,-0.18241758244028006
Lanier,% Children in Poverty,a,-410793.2562476714
Lanier,% Children in Poverty,b,407.80079920478346
Lanier,% Children in Poverty,c,-0.10119880119981417
Laurens,% Children in Poverty,a,-789378.6511756764
Laurens,% Children in Poverty,b,782.9933568680462
Laurens,% Children in Poverty,c,-0.19415584421153653
Lee,% Children in Poverty,a,-340924.9544718969
Lee,% Children in Poverty,b,338.0914086175078
Lee,% Children in Poverty,c,-0.08381618382264833
Liberty,% Children in Poverty,a,-338120.31244129123
Liberty,% Children in Poverty,b,335.4965033517712
Liberty,% Children in Poverty,c,-0.08321678318094428
Lincoln,% Children in Poverty,a,-306964.71280565934
Lincoln,% Children in Poverty,b,304.83891100800173
Lincoln,% Children in Poverty,c,-0.0756743256542336
Long,% Children in Poverty,a,-192199.98678196408
Long,% Children in Poverty,b,191.6204795885708
Long,% Children in Poverty,c,-0.04775224776912523
Lowndes,% Children in Poverty,a,-350714.8293527235
Lowndes,% Children in Poverty,b,347.68766222092177
Lowndes,% Children in Poverty,c,-0.08616383613491507
Lumpkin,% Children in Poverty,a,-458706.5756774524
Lumpkin,% Children in Poverty,b,455.6287212320801
Lumpkin,% Children in Poverty,c,-0.11313686312524851
Macon,% Children in Poverty,a,-746550.6737873827
Macon,% Children in Poverty,b,740.3032968630386
Macon,% Children in Poverty,c,-0.1835164835561045
Madison,% Children in Poverty,a,-406169.0010553938
Madison,% Children in Poverty,b,403.0857142425203
Madison,% Children in Poverty,c,-0.09999999998927933
Marion,% Children in Poverty,a,-588304.9359831959
Marion,% Children in Poverty,b,583.7644857314033
Marion,% Children in Poverty,c,-0.14480519485891818
McDuffie,% Children in Poverty,a,-1115748.7710303809
McDuffie,% Children in Poverty,b,1106.7074927076364
McDuffie,% Children in Poverty,c,-0.27442557447534455
McIntosh,% Children in Poverty,a,-510135.1036962824
McIntosh,% Children in Poverty,b,505.91713296629433
McIntosh,% Children in Poverty,c,-0.12542457544918761
Meriwether,% Children in Poverty,a,-273604.08043085976
Meriwether,% Children in Poverty,b,271.1742756364141
Meriwether,% Children in Poverty,c,-0.06718281716104002
Miller,% Children in Poverty,a,-20341.265705910464
Miller,% Children in Poverty,b,20.882867203799346
Miller,% Children in Poverty,c,-0.0053446553622364945
Mitchell,% Children in Poverty,a,-226495.45385902293
Mitchell,% Children in Poverty,b,224.34655336025418
Mitchell,% Children in Poverty,c,-0.0555444555230622
Monroe,% Children in Poverty,a,-186182.98525595793
Monroe,% Children in Poverty,b,185.00609384794527
Monroe,% Children in Poverty,c,-0.04595404593965213
Montgomery,% Children in Poverty,a,-530746.1726933607
Montgomery,% Children in Poverty,b,527.1161837827717
Montgomery,% Children in Poverty,c,-0.13086913086090135
Morgan,% Children in Poverty,a,-387848.4779828822
Morgan,% Children in Poverty,b,385.1351647963508
Morgan,% Children in Poverty,c,-0.09560439559476208
Murray,% Children in Poverty,a,-565201.0825292561
Murray,% Children in Poverty,b,560.8189309815693
Murray,% Children in Poverty,c,-0.1391108890892383
Muscogee,% Children in Poverty,a,-412461.0742742478
Muscogee,% Children in Poverty,b,409.0287712770213
Muscogee,% Children in Poverty,c,-0.10139860141060808
Newton,% Children in Poverty,a,-655284.0454366996
Newton,% Children in Poverty,b,649.9099900914696
Newton,% Children in Poverty,c,-0.16113886115908826
Oconee,% Children in Poverty,a,-169688.0859541358
Oconee,% Children in Poverty,b,168.6621877528612
Oconee,% Children in Poverty,c,-0.041908091893390065
Oglethorpe,% Children in Poverty,a,-429099.49039981206
Oglethorpe,% Children in Poverty,b,425.8380119784685
Oglethorpe,% Children in Poverty,c,-0.10564435564202768
Paulding,% Children in Poverty,a,-394863.36470600404
Paulding,% Children in Poverty,b,391.83256740358564
Paulding,% Children in Poverty,c,-0.09720279719562086
Peach,% Children in Poverty,a,-299657.6134684577
Peach,% Children in Poverty,b,297.4895103725053
Peach,% Children in Poverty,c,-0.07382617379715839
Pickens,% Children in Poverty,a,-370219.6726989786
Pickens,% Children in Poverty,b,367.7304695024944
Pickens,% Children in Poverty,c,-0.09130869130177643
Pierce,% Children in Poverty,a,-432222.1098443864
Pierce,% Children in Poverty,b,429.20234770619265
Pierce,% Children in Poverty,c,-0.10654345655683528
Pike,% Children in Poverty,a,-350494.3771888149
Pike,% Children in Poverty,b,348.0748251413588
Pike,% Children in Poverty,c,-0.08641358640534236
Polk,% Children in Poverty,a,-615281.2852621733
Polk,% Children in Poverty,b,610.5346652826931
Polk,% Children in Poverty,c,-0.15144855143569202
Pulaski,% Children in Poverty,a,-758994.1182410361
Pulaski,% Children in Poverty,b,752.5129871707652
Pulaski,% Children in Poverty,c,-0.1865134865525988
Putnam,% Children in Poverty,a,-646115.5158992715
Putnam,% Children in Poverty,b,641.1371628519119
Putnam,% Children in Poverty,c,-0.15904095904454607
Quitman,% Children in Poverty,a,-813759.7102435459
Quitman,% Children in Poverty,b,807.1753746785988
Quitman,% Children in Poverty,c,-0.20014985016302944
Rabun,% Children in Poverty,a,-755085.6501069729
Rabun,% Children in Poverty,b,749.5661339229035
Rabun,% Children in Poverty,c,-0.18601398602811514
Randolph,% Children in Poverty,a,-968769.2359974933
Randolph,% Children in Poverty,b,960.6976027277464
Randolph,% Children in Poverty,c,-0.23816183824362724
Richmond,% Children in Poverty,a,-324905.2656445304
Richmond,% Children in Poverty,b,322.60374626376307
Richmond,% Children in Poverty,c,-0.08006993007239771
Rockdale,% Children in Poverty,a,-503477.70157983975
Rockdale,% Children in Poverty,b,499.4877122693494
Rockdale,% Children in Poverty,c,-0.12387612387158242
Schley,% Children in Poverty,a,-583616.0632127445
Schley,% Children in Poverty,b,579.0164337405702
Schley,% Children in Poverty,c,-0.14360639364952021
Screven,% Children in Poverty,a,-1207552.0391649792
Screven,% Children in Poverty,b,1197.5609393621703
Screven,% Children in Poverty,c,-0.29690309697775774
Seminole,% Children in Poverty,a,-655325.2809394095
Seminole,% Children in Poverty,b,650.2414087102798
Seminole,% Children in Poverty,c,-0.1612887113180932
Spalding,% Children in Poverty,a,-643879.2442814007
Spalding,% Children in Poverty,b,638.8202796464254
Spalding,% Children in Poverty,c,-0.15844155842319196
Stephens,% Children in Poverty,a,-602716.6628302946
Stephens,% Children in Poverty,b,598.3610888050787
Stephens,% Children in Poverty,c,-0.14850149847518423
Stewart,% Children in Poverty,a,-828641.0094936556
Stewart,% Children in Poverty,b,822.6128372648232
Stewart,% Children in Poverty,c,-0.2041458541710881
Sumter,% Children in Poverty,a,-829504.8866077899
Sumter,% Children in Poverty,b,823.1423578349811
Sumter,% Children in Poverty,c,-0.2041958042435681
Talbot,% Children in Poverty,a,-495778.066783926
Talbot,% Children in Poverty,b,491.5466034469114
Talbot,% Children in Poverty,c,-0.12182817184066153
Taliaferro,% Children in Poverty,a,-1266653.908373398
Taliaferro,% Children in Poverty,b,1256.8899102700575
Taliaferro,% Children in Poverty,c,-0.31178821183289074
Tattnall,% Children in Poverty,a,-639475.071967363
Tattnall,% Children in Poverty,b,634.5223277105565
Tattnall,% Children in Poverty,c,-0.15739260740190275
Taylor,% Children in Poverty,a,-602611.8120240928
Taylor,% Children in Poverty,b,597.8090910436174
Taylor,% Children in Poverty,c,-0.14825174828501986
Telfair,% Children in Poverty,a,-684375.4390773086
Telfair,% Children in Poverty,b,679.1516982191719
Telfair,% Children in Poverty,c,-0.16848151846113524
Terrell,% Children in Poverty,a,-947117.59106494
Terrell,% Children in Poverty,b,939.0830172365011
Terrell,% Children in Poverty,c,-0.2327672328300423
Thomas,% Children in Poverty,a,-306846.8798870558
Thomas,% Children in Poverty,b,304.8816182495484
Thomas,% Children in Poverty,c,-0.07572427569147067
Tift,% Children in Poverty,a,-906068.3899032859
Tift,% Children in Poverty,b,898.8784716206995
Tift,% Children in Poverty,c,-0.22292707294991487
Toombs,% Children in Poverty,a,-463334.25250743545
Toombs,% Children in Poverty,b,460.046453506898
Toombs,% Children in Poverty,c,-0.11418581417603946
Towns,% Children in Poverty,a,-552139.427097201
Towns,% Children in Poverty,b,548.2982516731583
Towns,% Children in Poverty,c,-0.1361138860952451
Treutlen,% Children in Poverty,a,-445160.023843514
Treutlen,% Children in Poverty,b,441.96983023672385
Treutlen,% Children in Poverty,c,-0.10969030970693439
Troup,% Children in Poverty,a,-499362.71079190396
Troup,% Children in Poverty,b,495.6365634392505
Troup,% Children in Poverty,c,-0.1229770229776932
Turner,% Children in Poverty,a,-675320.9687642957
Turner,% Children in Poverty,b,669.9290711599508
Turner,% Children in Poverty,c,-0.16613386619110315
Twiggs,% Children in Poverty,a,-648182.2332276063
Twiggs,% Children in Poverty,b,642.8679821771606
Twiggs,% Children in Poverty,c,-0.1593906094300337
Union,% Children in Poverty,a,-534291.8017629517
Union,% Children in Poverty,b,530.5839659001391
Union,% Children in Poverty,c,-0.13171828168515276
Upson,% Children in Poverty,a,-876452.5718374238
Upson,% Children in Poverty,b,869.2830670410603
Upson,% Children in Poverty,c,-0.21553446556117706
Walker,% Children in Poverty,a,-621400.2203351737
Walker,% Children in Poverty,b,616.6893606939865
Walker,% Children in Poverty,c,-0.15299700301045505
Walton,% Children in Poverty,a,-423948.88469585084
Walton,% Children in Poverty,b,420.86468529560574
Walton,% Children in Poverty,c,-0.104445554440872
Ware,% Children in Poverty,a,-753146.0669012341
Ware,% Children in Poverty,b,746.5944057613264
Ware,% Children in Poverty,c,-0.18501498505645486
Warren,% Children in Poverty,a,-722692.4575221365
Warren,% Children in Poverty,b,716.4859642140639
Warren,% Children in Poverty,c,-0.17757242761661018
Washington,% Children in Poverty,a,-859741.8626242987
Washington,% Children in Poverty,b,852.7382119731056
Washington,% Children in Poverty,c,-0.2114385614843286
Wayne,% Children in Poverty,a,-261103.29454852414
Wayne,% Children in Poverty,b,259.3332166277851
Wayne,% Children in Poverty,c,-0.06438561434708845
Webster,% Children in Poverty,a,-541256.7707556826
Webster,% Children in Poverty,b,536.8610890362003
Webster,% Children in Poverty,c,-0.13311688314786352
Wheeler,% Children in Poverty,a,-729382.7009354926
Wheeler,% Children in Poverty,b,723.7306694659957
Wheeler,% Children in Poverty,c,-0.17952047955407124
White,% Children in Poverty,a,-447253.2480534311
White,% Children in Poverty,b,444.20869131019185
White,% Children in Poverty,c,-0.11028971029008972
Whitfield,% Children in Poverty,a,-556250.1960402393
Whitfield,% Children in Poverty,b,552.2492506859006
Whitfield,% Children in Poverty,c,-0.1370629370471761
Wilcox,% Children in Poverty,a,-493205.4032886524
Wilcox,% Children in Poverty,b,489.3644356555552
Wilcox,% Children in Poverty,c,-0.12137862140122024
Wilkes,% Children in Poverty,a,-413760.7652789349
Wilkes,% Children in Poverty,b,410.68331662790945
Wilkes,% Children in Poverty,c,-0.10189810188433057
Wilkinson,% Children in Poverty,a,-405536.18041444966
Wilkinson,% Children in Poverty,b,401.8694805145568
Wilkinson,% Children in Poverty,c,-0.09955044954926962
Worth,% Children in Poverty,a,-356287.93365059124
Worth,% Children in Poverty,b,353.4743757080332
Worth,% Children in Poverty,c,-0.08766233768312759
Appling,% Excessive Drinking,a,3515.3264389600104
Appling,% Excessive Drinking,b,-3.9108440190216
Appling,% Excessive Drinking,c,0.0010782809545895056
Atkinson,% Excessive Drinking,a,-461602.48962059885
Atkinson,% Excessive Drinking,b,456.73220834744455
Atkinson,% Excessive Drinking,c,-0.11297456916105375
Bacon,% Excessive Drinking,a,-230506.79610317378
Bacon,% Excessive Drinking,b,228.0515618376997
Bacon,% Excessive Drinking,c,-0.05640163948314125
Baker,% Excessive Drinking,a,-458.3022196104426
Baker,% Excessive Drinking,b,0.025000017596928957
Baker,% Excessive Drinking,c,0.00010349722652016821
Baldwin,% Excessive Drinking,a,-74565.6591637536
Baldwin,% Excessive Drinking,b,73.65488539963462
Baldwin,% Excessive Drinking,c,-0.018184928047105586
Banks,% Excessive Drinking,a,-351680.802421032
Banks,% Excessive Drinking,b,347.75290995881755
Banks,% Excessive Drinking,c,-0.08596280959051228
Barrow,% Excessive Drinking,a,-161071.44516428487
Barrow,% Excessive Drinking,b,159.42847094018362
Barrow,% Excessive Drinking,c,-0.039446271611723205
Bartow,% Excessive Drinking,a,63240.0531591111
Bartow,% Excessive Drinking,b,-62.943258306109094
Bartow,% Excessive Drinking,c,0.01566571549550133
Ben Hill,% Excessive Drinking,a,-101823.86322960387
Ben Hill,% Excessive Drinking,b,100.30700542959843
Ben Hill,% Excessive Drinking,c,-0.02469912810155961
Berrien,% Excessive Drinking,a,-178348.19143554417
Berrien,% Excessive Drinking,b,176.33765283671195
Berrien,% Excessive Drinking,c,-0.043583482908616133
Bibb,% Excessive Drinking,a,-61496.5527968681
Bibb,% Excessive Drinking,b,60.55269541926827
Bibb,% Excessive Drinking,c,-0.014901905686087957
Bleckley,% Excessive Drinking,a,-116311.37451096172
Bleckley,% Excessive Drinking,b,114.79568436537005
Bleckley,% Excessive Drinking,c,-0.02832076667081651
Brantley,% Excessive Drinking,a,-564900.142205758
Brantley,% Excessive Drinking,b,558.9564541486775
Brantley,% Excessive Drinking,c,-0.13826460699465315
Brooks,% Excessive Drinking,a,-341920.2993543989
Brooks,% Excessive Drinking,b,338.18949786124483
Brooks,% Excessive Drinking,c,-0.08362112863562743
Bryan,% Excessive Drinking,a,-279808.3517672799
Bryan,% Excessive Drinking,b,276.86619249203596
Bryan,% Excessive Drinking,c,-0.068484189650178
Bulloch,% Excessive Drinking,a,80059.53143397855
Bulloch,% Excessive Drinking,b,-79.46076156961114
Bulloch,% Excessive Drinking,c,0.019720554530906043
Burke,% Excessive Drinking,a,31401.055914014683
Burke,% Excessive Drinking,b,-31.549308443131324
Burke,% Excessive Drinking,c,0.007926318205342398
Butts,% Excessive Drinking,a,452979.03609097446
Butts,% Excessive Drinking,b,-448.71187862905776
Butts,% Excessive Drinking,c,0.11112509364869538
Calhoun,% Excessive Drinking,a,-390101.42185826827
Calhoun,% Excessive Drinking,b,385.9434843922752
Calhoun,% Excessive Drinking,c,-0.0954539170814428
Camden,% Excessive Drinking,a,-127076.99444405462
Camden,% Excessive Drinking,b,125.80932763513206
Camden,% Excessive Drinking,c,-0.03113409426742919
Candler,% Excessive Drinking,a,-230659.2674921868
Candler,% Excessive Drinking,b,227.85863184124352
Candler,% Excessive Drinking,c,-0.05626912639988291
Carroll,% Excessive Drinking,a,-207240.5316047681
Carroll,% Excessive Drinking,b,205.15264357533792
Carroll,% Excessive Drinking,c,-0.05076726688693611
Catoosa,% Excessive Drinking,a,-47113.225252144
Catoosa,% Excessive Drinking,b,46.198438315123546
Catoosa,% Excessive Drinking,c,-0.011319949869331936
Charlton,% Excessive Drinking,a,-622044.9482235047
Charlton,% Excessive Drinking,b,616.0527369700436
Charlton,% Excessive Drinking,c,-0.1525253711794221
Chatham,% Excessive Drinking,a,9887.140321413992
Chatham,% Excessive Drinking,b,-9.952419442373657
Chatham,% Excessive Drinking,c,0.002508216871348168
Chattahoochee,% Excessive Drinking,a,-645140.2748990166
Chattahoochee,% Excessive Drinking,b,640.193534854356
Chattahoochee,% Excessive Drinking,c,-0.15881512873988868
